date,gas_spot_ny,gas_spot_gulf,
"Jun 06, 1986",0.434,0.416,
"Jun 13, 1986",0.425,0.414,
"Jun 20, 1986",0.417,0.412,
"Jun 27, 1986",0.409,0.399,
"Jul 04, 1986",0.385,0.376,
"Jul 11, 1986",0.346,0.342,
"Jul 18, 1986",0.336,0.332,
"Jul 25, 1986",0.333,0.322,
"Aug 01, 1986",0.316,0.312,
"Aug 08, 1986",0.4,0.39,
"Aug 15, 1986",0.435,0.427,
"Aug 22, 1986",0.444,0.437,
"Aug 29, 1986",0.446,0.431,
"Sep 05, 1986",0.457,0.441,
"Sep 12, 1986",0.426,0.41,
"Sep 19, 1986",0.408,0.379,
"Sep 26, 1986",0.402,0.376,
"Oct 03, 1986",0.412,0.395,
"Oct 10, 1986",0.419,0.403,
"Oct 17, 1986",0.412,0.397,
"Oct 24, 1986",0.413,0.405,
"Oct 31, 1986",0.391,0.393,
"Nov 07, 1986",0.405,0.405,
"Nov 14, 1986",0.414,0.414,
"Nov 21, 1986",0.414,0.413,
"Nov 28, 1986",0.409,0.405,
"Dec 05, 1986",0.417,0.404,
"Dec 12, 1986",0.419,0.4,
"Dec 19, 1986",0.435,0.408,
"Dec 26, 1986",0.456,0.425,
"Jan 02, 1987",0.47,0.459,
"Jan 09, 1987",0.488,0.481,
"Jan 16, 1987",0.503,0.5,
"Jan 23, 1987",0.487,0.496,
"Jan 30, 1987",0.478,0.495,
"Feb 06, 1987",0.496,0.501,
"Feb 13, 1987",0.486,0.492,
"Feb 20, 1987",0.469,0.471,
"Feb 27, 1987",0.445,0.459,
"Mar 06, 1987",0.489,0.487,
"Mar 13, 1987",0.51,0.508,
"Mar 20, 1987",0.516,0.51,
"Mar 27, 1987",0.519,0.516,
"Apr 03, 1987",0.517,0.515,
"Apr 10, 1987",0.504,0.505,
"Apr 17, 1987",0.492,0.494,
"Apr 24, 1987",0.498,0.501,
"May 01, 1987",0.513,0.511,
"May 08, 1987",0.526,0.519,
"May 15, 1987",0.545,0.533,
"May 22, 1987",0.551,0.534,
"May 29, 1987",0.551,0.531,
"Jun 05, 1987",0.555,0.532,
"Jun 12, 1987",0.565,0.542,
"Jun 19, 1987",0.561,0.537,
"Jun 26, 1987",0.548,0.527,
"Jul 03, 1987",0.556,0.539,
"Jul 10, 1987",0.556,0.545,
"Jul 17, 1987",0.563,0.553,
"Jul 24, 1987",0.557,0.558,
"Jul 31, 1987",0.55,0.558,
"Aug 07, 1987",0.55,0.554,
"Aug 14, 1987",0.54,0.547,
"Aug 21, 1987",0.507,0.52,
"Aug 28, 1987",0.5,0.505,
"Sep 04, 1987",0.505,0.5,
"Sep 11, 1987",0.511,0.495,
"Sep 18, 1987",0.528,0.497,
"Sep 25, 1987",0.525,0.495,
"Oct 02, 1987",0.52,0.496,
"Oct 09, 1987",0.521,0.499,
"Oct 16, 1987",0.535,0.511,
"Oct 23, 1987",0.558,0.521,
"Oct 30, 1987",0.557,0.514,
"Nov 06, 1987",0.531,0.507,
"Nov 13, 1987",0.525,0.509,
"Nov 20, 1987",0.505,0.487,
"Nov 27, 1987",0.505,0.485,
"Dec 04, 1987",0.492,0.47,
"Dec 11, 1987",0.474,0.451,
"Dec 18, 1987",0.432,0.411,
"Dec 25, 1987",0.438,0.415,
"Jan 01, 1988",0.438,0.418,
"Jan 08, 1988",0.461,0.439,
"Jan 15, 1988",0.441,0.422,
"Jan 22, 1988",0.45,0.433,
"Jan 29, 1988",0.445,0.438,
"Feb 05, 1988",0.469,0.458,
"Feb 12, 1988",0.464,0.453,
"Feb 19, 1988",0.457,0.45,
"Feb 26, 1988",0.455,0.447,
"Mar 04, 1988",0.445,0.434,
"Mar 11, 1988",0.434,0.437,
"Mar 18, 1988",0.445,0.451,
"Mar 25, 1988",0.463,0.475,
"Apr 01, 1988",0.479,0.488,
"Apr 08, 1988",0.478,0.484,
"Apr 15, 1988",0.518,0.521,
"Apr 22, 1988",0.517,0.523,
"Apr 29, 1988",0.515,0.518,
"May 06, 1988",0.504,0.5,
"May 13, 1988",0.527,0.518,
"May 20, 1988",0.531,0.514,
"May 27, 1988",0.525,0.505,
"Jun 03, 1988",0.526,0.506,
"Jun 10, 1988",0.511,0.486,
"Jun 17, 1988",0.51,0.491,
"Jun 24, 1988",0.518,0.499,
"Jul 01, 1988",0.529,0.516,
"Jul 08, 1988",0.567,0.548,
"Jul 15, 1988",0.575,0.585,
"Jul 22, 1988",0.561,0.564,
"Jul 29, 1988",0.523,0.539,
"Aug 05, 1988",0.494,0.495,
"Aug 12, 1988",0.476,0.483,
"Aug 19, 1988",0.482,0.49,
"Aug 26, 1988",0.48,0.473,
"Sep 02, 1988",0.477,0.457,
"Sep 09, 1988",0.447,0.437,
"Sep 16, 1988",0.465,0.478,
"Sep 23, 1988",0.467,0.477,
"Sep 30, 1988",0.477,0.489,
"Oct 07, 1988",0.456,0.439,
"Oct 14, 1988",0.481,0.458,
"Oct 21, 1988",0.536,0.518,
"Oct 28, 1988",0.567,0.575,
"Nov 04, 1988",0.527,0.497,
"Nov 11, 1988",0.554,0.5,
"Nov 18, 1988",0.529,0.485,
"Nov 25, 1988",0.49,0.439,
"Dec 02, 1988",0.492,0.446,
"Dec 09, 1988",0.466,0.434,
"Dec 16, 1988",0.459,0.427,
"Dec 23, 1988",0.472,0.436,
"Dec 30, 1988",0.484,0.451,
"Jan 06, 1989",0.483,0.462,
"Jan 13, 1989",0.498,0.487,
"Jan 20, 1989",0.519,0.514,
"Jan 27, 1989",0.506,0.502,
"Feb 03, 1989",0.489,0.491,
"Feb 10, 1989",0.475,0.484,
"Feb 17, 1989",0.472,0.485,
"Feb 24, 1989",0.484,0.487,
"Mar 03, 1989",0.507,0.507,
"Mar 10, 1989",0.508,0.508,
"Mar 17, 1989",0.542,0.536,
"Mar 24, 1989",0.553,0.549,
"Mar 31, 1989",0.61,0.618,
"Apr 07, 1989",0.657,0.663,
"Apr 14, 1989",0.687,0.664,
"Apr 21, 1989",0.728,0.7,
"Apr 28, 1989",0.726,0.72,
"May 05, 1989",0.729,0.709,
"May 12, 1989",0.675,0.67,
"May 19, 1989",0.655,0.653,
"May 26, 1989",0.661,0.667,
"Jun 02, 1989",0.673,0.666,
"Jun 09, 1989",0.669,0.647,
"Jun 16, 1989",0.617,0.599,
"Jun 23, 1989",0.617,0.587,
"Jun 30, 1989",0.63,0.589,
"Jul 07, 1989",0.594,0.554,
"Jul 14, 1989",0.591,0.552,
"Jul 21, 1989",0.556,0.53,
"Jul 28, 1989",0.522,0.497,
"Aug 04, 1989",0.519,0.5,
"Aug 11, 1989",0.511,0.491,
"Aug 18, 1989",0.528,0.504,
"Aug 25, 1989",0.537,0.52,
"Sep 01, 1989",0.546,0.533,
"Sep 08, 1989",0.573,0.572,
"Sep 15, 1989",0.583,0.577,
"Sep 22, 1989",0.61,0.592,
"Sep 29, 1989",0.613,0.579,
"Oct 06, 1989",0.574,0.548,
"Oct 13, 1989",0.569,0.54,
"Oct 20, 1989",0.555,0.532,
"Oct 27, 1989",0.537,0.526,
"Nov 03, 1989",0.522,0.52,
"Nov 10, 1989",0.514,0.517,
"Nov 17, 1989",0.505,0.507,
"Nov 24, 1989",0.511,0.495,
"Dec 01, 1989",0.499,0.489,
"Dec 08, 1989",0.516,0.505,
"Dec 15, 1989",0.51,0.495,
"Dec 22, 1989",0.541,0.532,
"Dec 29, 1989",0.618,0.627,
"Jan 05, 1990",0.668,0.689,
"Jan 12, 1990",0.655,0.655,
"Jan 19, 1990",0.64,0.625,
"Jan 26, 1990",0.613,0.606,
"Feb 02, 1990",0.623,0.617,
"Feb 09, 1990",0.605,0.592,
"Feb 16, 1990",0.592,0.575,
"Feb 23, 1990",0.586,0.571,
"Mar 02, 1990",0.556,0.563,
"Mar 09, 1990",0.551,0.562,
"Mar 16, 1990",0.543,0.551,
"Mar 23, 1990",0.562,0.59,
"Mar 30, 1990",0.574,0.621,
"Apr 06, 1990",0.601,0.636,
"Apr 13, 1990",0.559,0.589,
"Apr 20, 1990",0.609,0.608,
"Apr 27, 1990",0.625,0.63,
"May 04, 1990",0.608,0.636,
"May 11, 1990",0.647,0.684,
"May 18, 1990",0.659,0.663,
"May 25, 1990",0.641,0.665,
"Jun 01, 1990",0.655,0.681,
"Jun 08, 1990",0.64,0.629,
"Jun 15, 1990",0.65,0.606,
"Jun 22, 1990",0.662,0.612,
"Jun 29, 1990",0.634,0.594,
"Jul 06, 1990",0.624,0.571,
"Jul 13, 1990",0.646,0.596,
"Jul 20, 1990",0.667,0.613,
"Jul 27, 1990",0.664,0.617,
